MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
11050,1268,0.9833,0.1503,-0.0075,1.0000
4207801,1269,0.9856,-0.1862,-0.0045,1.0000
21158,1273,0.0003,-7.2970,0.0427,0
11012,1279,0.9821,-0.1429,-0.0084,1.0000
12537,1280,0.9818,-0.0245,-0.0086,1.0000
13376,1282,0.9539,-3.7498,-0.0003,1.0000
1022,1289,0.9756,-0.5498,0.0119,1.0000
21170,1294,0.9865,-0.2251,-0.0021,1.0000
7997871,1294,0.0001,6.9119,0.0384,0
14618,1296,0.9867,0.0499,-0.0019,1.0000
4538,1298,0.9588,-0.3620,0.0164,1.0000
10929811,1301,0.0112,5.5748,-0.0379,1.0000
7969629,1302,3.1937E-10,14.9346,-0.0110,1.0000
24239,1303,0.9834,-1.5390,-0.0018,1.0000
1063,1304,0.9737,0.2351,0.0127,1.0000
21651,1308,0.9863,0.3147,-0.0022,0.9995
1266,1308,0.9710,0.3147,0.0135,0.0005
51438453,1311,2.3833E-12,-17.6802,-0.0182,1.0000
1406,1314,0.9829,-0.2956,0.0078,1.0000
18855,1316,0.9859,-0.4499,0.0036,1.0000
11030,1320,0.9755,0.7214,-0.0117,1.0000
21163,1328,0.9851,0.7993,0.0040,1.0000
28300323,1330,0.9831,0.8745,0.0065,1.0000
15189,1333,0.9850,0.5866,-0.0050,1.0000
4207965,1335,0.9858,0.3654,-0.0039,0.6691
1413,1335,0.9855,0.3654,0.0045,0.3309
